Date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,Area_PV_m2
2016-01-01 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 09:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 10:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 11:00:00+01:00,0,0,0,0,2.08,175.63,0,0,0,0,2.08,14.17,175.63
2016-01-02 12:00:00+01:00,0,0,0,0,2.95,175.63,0,0,0,0,2.95,20.23,175.63
2016-01-02 13:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 14:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 15:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-02 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 09:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 10:00:00+01:00,0,0,0,0,2.44,175.63,0,0,0,0,2.44,25.14,175.63
2016-01-03 11:00:00+01:00,0,0,0,0,3.18,175.63,0,0,0,0,3.18,23.58,175.63
2016-01-03 12:00:00+01:00,0,0,0,0,3.54,175.63,0,0,0,0,3.54,33.20,175.63
2016-01-03 13:00:00+01:00,0,0,0,0,2.97,175.63,0,0,0,0,2.97,51.53,175.63
2016-01-03 14:00:00+01:00,0,0,0,0,2.67,175.63,0,0,0,0,2.67,29.33,175.63
2016-01-03 15:00:00+01:00,0,0,0,0,1.94,175.63,0,0,0,0,1.94,15.45,175.63
2016-01-03 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-03 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 09:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 10:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 11:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 12:00:00+01:00,0,0,0,0,1.52,175.63,0,0,0,0,1.52,10.37,175.63
2016-01-04 13:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 14:00:00+01:00,0,0,0,0,1.47,175.63,0,0,0,0,1.47,10.02,175.63
2016-01-04 15:00:00+01:00,0,0,0,0,1.77,175.63,0,0,0,0,1.77,12.09,175.63
2016-01-04 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-04 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 09:00:00+01:00,0,0,0,0,1.23,175.63,0,0,0,0,1.23,17.86,175.63
2016-01-05 10:00:00+01:00,0,0,0,0,2.84,175.63,0,0,0,0,2.84,40.32,175.63
2016-01-05 11:00:00+01:00,0,0,0,0,3.12,175.63,0,0,0,0,3.12,30.59,175.63
2016-01-05 12:00:00+01:00,0,0,0,0,3.30,175.63,0,0,0,0,3.30,24.20,175.63
2016-01-05 13:00:00+01:00,0,0,0,0,3.44,175.63,0,0,0,0,3.44,34.28,175.63
2016-01-05 14:00:00+01:00,0,0,0,0,2.08,175.63,0,0,0,0,2.08,35.55,175.63
2016-01-05 15:00:00+01:00,0,0,0,0,1.71,175.63,0,0,0,0,1.71,18.96,175.63
2016-01-05 16:00:00+01:00,0,0,0,0,1.19,175.63,0,0,0,0,1.19,11.86,175.63
2016-01-05 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-05 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 09:00:00+01:00,0,0,0,0,1.20,175.63,0,0,0,0,1.20,9.39,175.63
2016-01-06 10:00:00+01:00,0,0,0,0,2.45,175.63,0,0,0,0,2.45,22.08,175.63
2016-01-06 11:00:00+01:00,0,0,0,0,3.12,175.63,0,0,0,0,3.12,42.96,175.63
2016-01-06 12:00:00+01:00,0,0,0,0,3.60,175.63,0,0,0,0,3.60,34.70,175.63
2016-01-06 13:00:00+01:00,0,0,0,0,2.88,175.63,0,0,0,0,2.88,19.87,175.63
2016-01-06 14:00:00+01:00,0,0,0,0,3.06,175.63,0,0,0,0,3.06,24.81,175.63
2016-01-06 15:00:00+01:00,0,0,0,0,1.69,175.63,0,0,0,0,1.69,11.58,175.63
2016-01-06 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-06 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 09:00:00+01:00,0,0,0,0,1.09,175.63,0,0,0,0,1.09,10.84,175.63
2016-01-07 10:00:00+01:00,0,0,0,0,2.13,175.63,0,0,0,0,2.13,15.48,175.63
2016-01-07 11:00:00+01:00,0,0,0,0,1.55,175.63,0,0,0,0,1.55,10.54,175.63
2016-01-07 12:00:00+01:00,0,0,0,0,1.32,175.63,0,0,0,0,1.32,8.99,175.63
2016-01-07 13:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 14:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 15:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-07 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 09:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 10:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 11:00:00+01:00,0,0,0,0,1.19,175.63,0,0,0,0,1.19,8.09,175.63
2016-01-08 12:00:00+01:00,0,0,0,0,1.92,175.63,0,0,0,0,1.92,13.13,175.63
2016-01-08 13:00:00+01:00,0,0,0,0,1.62,175.63,0,0,0,0,1.62,11.06,175.63
2016-01-08 14:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 15:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-08 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 09:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 10:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 11:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 12:00:00+01:00,0,0,0,0,1.91,175.63,0,0,0,0,1.91,13.13,175.63
2016-01-09 13:00:00+01:00,0,0,0,0,1.58,175.63,0,0,0,0,1.58,10.89,175.63
2016-01-09 14:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 15:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-09 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 09:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 10:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 11:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 12:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 13:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 14:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 15:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 18:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 19:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 20:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 21:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 22:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-10 23:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 00:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 01:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 02:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 03:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 04:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 05:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 06:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 07:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 08:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 09:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 10:00:00+01:00,0,0,0,0,1.59,175.63,0,0,0,0,1.59,10.88,175.63
2016-01-11 11:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 12:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 13:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 14:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 15:00:00+01:00,0,0,0,0,1.48,175.63,0,0,0,0,1.48,10.20,175.63
2016-01-11 16:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
2016-01-11 17:00:00+01:00,0,0,0,0,0.00,175.63,0,0,0,0,0.00,0.00,175.63
