Date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,Area_PV_m2
2016-01-02 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 09:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 10:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 11:00:00+01:00,0,0,0,0,1.49,130.54,0,0,0,0,1.49,10.16,130.54
2016-01-02 12:00:00+01:00,0,0,0,0,2.10,130.54,0,0,0,0,2.10,14.40,130.54
2016-01-02 13:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 14:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 15:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-02 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 09:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 10:00:00+01:00,0,0,0,0,1.34,130.54,0,0,0,0,1.34,13.73,130.54
2016-01-03 11:00:00+01:00,0,0,0,0,2.05,130.54,0,0,0,0,2.05,15.19,130.54
2016-01-03 12:00:00+01:00,0,0,0,0,2.19,130.54,0,0,0,0,2.19,20.48,130.54
2016-01-03 13:00:00+01:00,0,0,0,0,1.57,130.54,0,0,0,0,1.57,27.20,130.54
2016-01-03 14:00:00+01:00,0,0,0,0,1.67,130.54,0,0,0,0,1.67,18.29,130.54
2016-01-03 15:00:00+01:00,0,0,0,0,1.31,130.54,0,0,0,0,1.31,10.45,130.54
2016-01-03 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-03 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 09:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 10:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 11:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 12:00:00+01:00,0,0,0,0,1.10,130.54,0,0,0,0,1.10,7.47,130.54
2016-01-04 13:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 14:00:00+01:00,0,0,0,0,1.06,130.54,0,0,0,0,1.06,7.20,130.54
2016-01-04 15:00:00+01:00,0,0,0,0,1.26,130.54,0,0,0,0,1.26,8.58,130.54
2016-01-04 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-04 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 09:00:00+01:00,0,0,0,0,0.38,130.54,0,0,0,0,0.38,5.53,130.54
2016-01-05 10:00:00+01:00,0,0,0,0,1.40,130.54,0,0,0,0,1.40,19.85,130.54
2016-01-05 11:00:00+01:00,0,0,0,0,1.85,130.54,0,0,0,0,1.85,18.07,130.54
2016-01-05 12:00:00+01:00,0,0,0,0,2.31,130.54,0,0,0,0,2.31,16.90,130.54
2016-01-05 13:00:00+01:00,0,0,0,0,2.05,130.54,0,0,0,0,2.05,20.43,130.54
2016-01-05 14:00:00+01:00,0,0,0,0,1.25,130.54,0,0,0,0,1.25,21.32,130.54
2016-01-05 15:00:00+01:00,0,0,0,0,1.14,130.54,0,0,0,0,1.14,12.60,130.54
2016-01-05 16:00:00+01:00,0,0,0,0,0.53,130.54,0,0,0,0,0.53,5.29,130.54
2016-01-05 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-05 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 09:00:00+01:00,0,0,0,0,0.37,130.54,0,0,0,0,0.37,2.86,130.54
2016-01-06 10:00:00+01:00,0,0,0,0,1.43,130.54,0,0,0,0,1.43,12.89,130.54
2016-01-06 11:00:00+01:00,0,0,0,0,1.70,130.54,0,0,0,0,1.70,23.34,130.54
2016-01-06 12:00:00+01:00,0,0,0,0,2.21,130.54,0,0,0,0,2.21,21.31,130.54
2016-01-06 13:00:00+01:00,0,0,0,0,2.05,130.54,0,0,0,0,2.05,14.14,130.54
2016-01-06 14:00:00+01:00,0,0,0,0,2.00,130.54,0,0,0,0,2.00,16.20,130.54
2016-01-06 15:00:00+01:00,0,0,0,0,1.20,130.54,0,0,0,0,1.20,8.23,130.54
2016-01-06 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-06 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 09:00:00+01:00,0,0,0,0,0.33,130.54,0,0,0,0,0.33,3.32,130.54
2016-01-07 10:00:00+01:00,0,0,0,0,1.38,130.54,0,0,0,0,1.38,10.00,130.54
2016-01-07 11:00:00+01:00,0,0,0,0,1.12,130.54,0,0,0,0,1.12,7.59,130.54
2016-01-07 12:00:00+01:00,0,0,0,0,0.68,130.54,0,0,0,0,0.68,4.62,130.54
2016-01-07 13:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 14:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 15:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-07 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 09:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 10:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 11:00:00+01:00,0,0,0,0,0.53,130.54,0,0,0,0,0.53,3.63,130.54
2016-01-08 12:00:00+01:00,0,0,0,0,1.38,130.54,0,0,0,0,1.38,9.44,130.54
2016-01-08 13:00:00+01:00,0,0,0,0,1.16,130.54,0,0,0,0,1.16,7.96,130.54
2016-01-08 14:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 15:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-08 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 09:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 10:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 11:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 12:00:00+01:00,0,0,0,0,1.37,130.54,0,0,0,0,1.37,9.44,130.54
2016-01-09 13:00:00+01:00,0,0,0,0,1.14,130.54,0,0,0,0,1.14,7.84,130.54
2016-01-09 14:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 15:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-09 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 09:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 10:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 11:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 12:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 13:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 14:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 15:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 18:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 19:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 20:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 21:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 22:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-10 23:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 00:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 01:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 02:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 03:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 04:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 05:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 06:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 07:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 08:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 09:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 10:00:00+01:00,0,0,0,0,1.14,130.54,0,0,0,0,1.14,7.82,130.54
2016-01-11 11:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 12:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 13:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 14:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 15:00:00+01:00,0,0,0,0,1.06,130.54,0,0,0,0,1.06,7.28,130.54
2016-01-11 16:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
2016-01-11 17:00:00+01:00,0,0,0,0,0.00,130.54,0,0,0,0,0.00,0.00,130.54
